Aizirek,aizirek@gmail.com,15000.0,5000.0,50000.0
Nazimay,nazimay@gmail.com,15000.0,6000.0,80000.0
Milena,milena@gmail.com,32000.0,25000.0,90000.0
Zhasmina,zhasmina@gmail.com,50000.0,40000.0,70000.0
Fatima,fatima@gmail.com,2.50999999E9,1.0E8,8.5E10
Meder ,meder@gmail.com,45000.0,20000.0,90000.0
Nurs,nurs@gmail.com,90000.0,80000.0,789456.0
nurdin,nurdin@gmail.com,100.0,500.0,9000.0
Nurs,nurs@email.com,500.0,300.0,8000.0
Baisal,baisal@gmail.com,500.0,200.0,9000.0
Tagai,tagai@gmail.com,500.0,900.0,8000.0
Maadanbek,maadanbek@gmail.com,500000.0,150000.0,100000.0
Amina A,aminaa@gmail.com,900000.0,500000.0,7.89456123E8
